doc_id,sentence,label0,label1,label2,label3,label4,average_score,mode_score,average_label,label
963,"If you decide that you would prefer not to receive personalized email or secure electronic messages from the WebMD Health Manager tool , you may `` Opt-out '' of the service by clicking on the settings tab on your Health Manager home page and changing your email preference or following the unsubscribe instructions included in each promotional email .",4,3.0,2.0,1.0,1.0,2.2,2.2,somewhat_clear,somewhat_clear
963,"Certain content , services and advertisements offered to you through the WebMD Web Sites are served on , or contain links to , web sites hosted and operated by a company other than WebMD ( `` Third Party Web Sites '' ) .",1,3.0,2.0,,,2.0,2.0,somewhat_clear,somewhat_clear
298,"Business partners , contractors , shared databases , and other third parties who may occasionally share information with us , including UltraViolet",2,2.0,5.0,5.0,3.0,3.4,3.4,vague,vague
904,"The data protection and other laws of the United States and other countries might not be as comprehensive as those in your country , but please be assured that we take steps to ensure that your privacy is protected .",3,4.0,3.0,,,3.333333333333333,3.333333333333333,vague,vague
796,"In addition to responding to your email correspondence and sending you information you have requested via our email lists , we send activation emails and other transactional emails to your e-mail address as necessary .",4,4.0,1.0,1.0,3.0,2.6,2.6,somewhat_clear,somewhat_clear
431,"The data collection for our networks currently is managed by our service provider , Collective .",1,2.0,1.0,1.0,,1.25,1.0,clear,clear
200,"For example , a User may set his or her browser to automatically block all cookies or to warn the User before a cookie is stored .",1,2.0,1.0,3.0,1.0,1.6,1.0,clear,clear
926,"You can learn more about cookies , web beacons such as pixel tags and Clear GIFs , or other tracking technologies by visiting the online resource All About Cookies .",1,5.0,1.0,2.0,1.0,2.0,1.0,somewhat_clear,clear
389,Visitors can accept cookies ( generally their browser 's default setting ) or decline them through their browser settings .,1,2.0,1.0,2.0,1.0,1.4,1.0,clear,clear
931,"Personal Identifiable Information ( PII ) as defined by the Office of Management and Budget ( OMB ) may be minimally collected by USGS to accomplish a purpose required by statute , regulation or executive order .",2,2.0,4.0,2.0,4.0,2.8,2.0,somewhat_clear,somewhat_clear
164,We may use the information to improve our products and services .,1,2.0,1.0,4.0,4.0,2.4,2.4,somewhat_clear,somewhat_clear
913,"These include , but are not limited to , sharing Site Information with service providers to allow them to fulfill your requests , to Instructors ( in which case this will become Course Information ) , and to your employer if you are enrolled through the Udemy for Organizations program as an employee .",1,4.0,5.0,1.0,,2.75,2.75,somewhat_clear,somewhat_clear
963,"These third party advertising service providers may use this information , on our behalf , to help WebMD deliver advertising on the WebMD Web Sites as well as on other sites on the Internet based on your browsing activity on our sites .",3,5.0,2.0,2.0,,3.0,3.0,vague,vague
458,"In some instances , when you use certain features of the Site or other Service , Fandango may collect the email addresses or other Personally Identifiable Information of others that you may provide .",5,4.0,5.0,4.0,4.0,4.4,4.0,extremely_vague,extremely_vague
801,WebMD does not endorse and is not responsible for the privacy practices of these Third Party Web Sites .,1,1.0,1.0,5.0,2.0,2.0,1.0,somewhat_clear,clear
938,"Furthermore , while we strive to protect your personal information , VegasInsider.com can not ensure or warrant the security of any information you transmit to us , and you do so at your own risk .",3,3.0,2.0,3.0,,2.75,3.0,somewhat_clear,vague
926,We contractually obligate these third party service providers to protect the confidentiality of the information disclosed to them and they are not permitted to use your information for any purpose other than to provide services to US Airways .,2,5.0,1.0,4.0,2.0,2.8,2.8,somewhat_clear,somewhat_clear
877,You may contact MIT Technology Review to request the removal of this information from MIT Technology Review 's database .,1,3.0,2.0,5.0,,2.75,2.75,somewhat_clear,somewhat_clear
778,"We may also use the cookie to discover whether a certain visitor has visited our site more than once , and the source for each visit .",4,2.0,2.0,1.0,3.0,2.4,2.4,somewhat_clear,somewhat_clear
963,"At registration and at various times as you use the WebMD Web Sites , you will be given the option of providing us with Personal Information in order to receive recurring informational/promotional newsletters such as a newsletter relating to a specific health condition via email from WebMD and/or directly from third parties .",1,4.0,4.0,1.0,5.0,3.0,3.0,vague,vague
963,"At registration and at various times as you use the WebMD Web Sites , you will be given the option of providing us with Personal Information in order to receive recurring informational/promotional newsletters such as a newsletter relating to a specific health condition via email from WebMD and/or directly from third parties .",2,2.0,,,,2.0,2.0,somewhat_clear,somewhat_clear
774,"We may collect personal information about you when you deal with us over the telephone , send us correspondence ( whether by letter , fax or email ) , visit our web sites or when you have contact with us in person .",3,3.0,2.0,4.0,,3.0,3.0,vague,vague
963,"WebMD may combine Personal and Non-Personal Information collected by WebMD about you , and may combine this information with information from external sources .",4,3.0,4.0,2.0,3.0,3.2,3.2,vague,vague
164,"We will not sell , distribute or lease your personal information to third parties unless we have your permission or are required by law to do so .",1,1.0,1.0,3.0,2.0,1.6,1.0,clear,clear
938,Users may opt-out of receiving future mailings ; see the choice/opt-out section below .,2,4.0,1.0,2.0,,2.25,2.25,somewhat_clear,somewhat_clear
605,"We also use pixel tags ( sometimes called `` web beacons '' or `` clear gifs '' ) , which are tiny graphic images , on our websites and in our emails .",1,1.0,1.0,2.0,1.0,1.2,1.0,clear,clear
801,You should be aware that it is not technologically possible to remove each and every record of the information you have provided to the WebMD Web Sites from our servers .,1,2.0,5.0,1.0,,2.25,2.25,somewhat_clear,somewhat_clear
963,"We may only release Personal Information to third parties : ( 1 ) to comply with legal requirements such as a law , regulation , search warrant , subpoena or court order ; or ( 2 ) in special cases , such as in response to a physical threat to you or others , to protect property or defend or assert legal rights .",5,4.0,3.0,5.0,4.0,4.2,4.2,extremely_vague,extremely_vague
760,We do not share any information about a child with any third parties unless the disclosure is reasonably necessary to :,2,4.0,1.0,5.0,1.0,2.6,2.6,somewhat_clear,somewhat_clear
904,"Typically , we aggregate the information we collect and use it to make improvements to the Travelocity Service and to develop appealing content , features and promotions for customers .",1,2.0,1.0,4.0,3.0,2.2,2.2,somewhat_clear,somewhat_clear
543,"If you do not accept Cookies , however , you may not be able to use all portions of the Company Properties or all functionality of the Company Properties .",2,2.0,2.0,,,2.0,2.0,somewhat_clear,somewhat_clear
839,"Such information may include your name , address , email address , preferences , interests , and demographic/profile data .",2,2.0,2.0,3.0,2.0,2.2,2.0,somewhat_clear,somewhat_clear
7,"It functions as a visit cookie , so that we can determine if you are a repeat visitor to our site .",3,2.0,3.0,1.0,2.0,2.2,2.2,somewhat_clear,somewhat_clear
621,This may also include information about your precise location if you have enabled location-based services on your mobile device .,1,2.0,1.0,2.0,,1.5,1.5,clear,clear
344,"When visiting a website displaying the TRUSTe Trustmark , you will be notified of what personally identifiable information of yours is collected :",1,1.0,1.0,2.0,1.0,1.2,1.0,clear,clear
691,There may be instances where you incur additional charges from your bank or credit card provider based on currency conversion rates used and/or additional fees assessed .,2,2.0,2.0,5.0,5.0,3.2,2.0,vague,somewhat_clear
252,"As we develop our business , we might sell or buy businesses or their assets , or engage in acquisitions , mergers , restructurings , changes of control , or similar transactions .",2,3.0,2.0,3.0,2.0,2.4,2.0,somewhat_clear,somewhat_clear
605,Welcome ! This privacy policy applies to customer information collected and used by Kohl 's Corporation and its affiliates in Kohl 's retail stores ( `` Stores '' ) and on our `` Site . '',2,2.0,1.0,1.0,2.0,1.6,2.0,clear,somewhat_clear
320,"Likewise , most mobile devices allow you to disable the ability for geo-location information to be collected from your mobile device .",3,2.0,2.0,3.0,1.0,2.2,2.2,somewhat_clear,somewhat_clear
975,"We may contract with companies or persons to provide certain services including credit card processing , shipping , data management , promotional services , etc .",2,2.0,2.0,,,2.0,2.0,somewhat_clear,somewhat_clear
654,"If you send us an email with questions or comments , we may use your personally identifiable information to respond to your questions or comments , and we may save your questions or comments for future reference .",1,3.0,4.0,2.0,4.0,2.8,2.8,somewhat_clear,somewhat_clear
261,"Business Transfers : As we continue to develop our business , we might sell or buy stores , subsidiaries , or business units .",2,3.0,2.0,1.0,3.0,2.2,2.2,somewhat_clear,somewhat_clear
877,"You may choose to log on or create or enhance your profile on our Services by utilizing a supplied third-party login provider ( e.g. , Facebook , Twitter , LinkedIn , OpenID ) .",2,1.0,1.0,5.0,2.0,2.2,2.2,somewhat_clear,somewhat_clear
298,"Barnes & Noble DOES NOT SELL OR RENT YOUR PERSONAL INFORMATION TO THIRD PARTIES provided that your data may be transferred to or shared with a third party as part of a sale , merger , or acquisition of Barnes & Noble or one of its affilliates ( see `` Sales , Mergers , and Acquisitions '' below ) .",1,2.0,4.0,5.0,3.0,3.0,3.0,vague,vague
760,"When a child under the age of 13 attempts to register with our Sites , we send their parent an e-mail notifying them that their child would like to register , and asking them to visit our Sites to grant consent for their child to register .",1,1.0,2.0,1.0,1.0,1.2,1.0,clear,clear
761,"You will still receive information from Bonnier and its various brands , but we will not share your address information with anyone else .",1,1.0,1.0,2.0,1.0,1.2,1.0,clear,clear
669,"You further understand and acknowledge that you may be exposed to Content that is inaccurate , offensive , indecent , or objectionable , and you agree to waive , and hereby do waive , any legal or equitable rights or remedies you have or may have against mobile9 with respect thereto , and , to the extent permitted by applicable law , agree to indemnify and hold harmless mobile9 , its owners , operators , affiliates , licensors , and licensees to the fullest extent allowed by law regarding all matters related to your use of the Service .",1,1.0,2.0,2.0,5.0,2.2,2.2,somewhat_clear,somewhat_clear
605,"As we continue to offer new and different types of content and services , Kohl 's may modify our collection and use practices covered by this Policy .",4,2.0,1.0,2.0,2.0,2.2,2.0,somewhat_clear,somewhat_clear
839,"LSOs perform similar functions to HTML browser cookies and deposit small files on your computer , which are commonly called Flash cookies .",1,1.0,2.0,2.0,1.0,1.4,1.0,clear,clear
793,if we buy or sell any business or assets in which case we may disclose Your Information to the seller or buyer of such business or assets ;,5,4.0,4.0,2.0,1.0,3.2,3.2,vague,vague
800,"However , the information that we collect about you may be processed in , transferred to , and/or stored at , a destination outside of the European Economic Area ( EEA ) where privacy laws may not provide the same level of protection as within the EEA .",1,3.0,2.0,2.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
756,"If your product is shown to be `` in stock '' on our website when you place your order , the number of days between the order date and the date that the carrier first attempts to deliver to the given address can be calculated as follows :",1,1.0,1.0,1.0,1.0,1.0,1.0,clear,clear
344,"When you opt to receive such an offer via Care2 , we will send your email address and other necessary contact information to the newsletter publisher .",3,3.0,2.0,2.0,2.0,2.4,2.0,somewhat_clear,somewhat_clear
839,Cookies are typically classified as either session cookies or persistent cookies .,1,2.0,2.0,4.0,1.0,2.0,2.0,somewhat_clear,somewhat_clear
654,"We generally keep this Privacy Policy posted on our Website and you should review it frequently , as it may change from time to time without notice .",2,3.0,3.0,5.0,3.0,3.2,3.0,vague,vague
930,Raw data logs are scheduled for regular destruction in accordance with the Computer Fraud and Abuse Act of 1986This is an external link or third-party site outside of the United States Department of Agriculture ( USDA ) website . and with National Archives and Records Administration ( NARA ) General Schedule 20 .,1,1.0,1.0,3.0,2.0,1.6,1.0,clear,clear
801,Their advertisements may be displayed on the WebMD Web Sites or on other sites that you visit after you visit the WebMD Web Sites .,4,2.0,3.0,2.0,,2.75,2.75,somewhat_clear,somewhat_clear
654,"We obtain non-personal information about you from information that you provide us , either separately or together with your personally identifiable information .",1,4.0,5.0,3.0,3.0,3.2,3.2,vague,vague
196,"Third-Parties : Twitter uses a variety of third-party services to help provide our Services , such as hosting our various blogs and wikis , and to help us understand the use of our Services , such as Google Analytics .",1,3.0,4.0,3.0,2.0,2.6,2.6,somewhat_clear,somewhat_clear
904,"You can choose not to receive customized online advertising on other websites , that is based on your travel-related searches on this website , through the Network Advertising Initiative or the Digital Advertising Alliance .",1,1.0,1.0,4.0,1.0,1.6,1.0,clear,clear
196,"Cookies : Like many websites , we use cookies and similar technologies to collect additional website usage data and to improve our Services , but we do not require cookies for many parts of our Services such as searching and looking at public user profiles or lists .",3,2.0,3.0,4.0,3.0,3.0,3.0,vague,vague
50,"The GIF tells us the IP address of the computer that fetched our page , the URL of the page the GIF is on , the time the page was viewed , the type of browser used , and it can also identify a previously set cookie value .",4,1.0,1.0,2.0,1.0,1.8,1.0,clear,clear
621,We may associate this information with the other Personal Information we have collected about you .,4,2.0,5.0,4.0,3.0,3.6,3.6,vague,vague
103,"Unless you tell us not to , we assume we have your permission to tell you about BT products and services we think you might be interested in .",5,1.0,2.0,1.0,4.0,2.6,2.6,somewhat_clear,somewhat_clear
196,"You can instruct your browser , by changing its settings , to stop accepting cookies or to prompt you before accepting a cookie from the websites you visit .",1,1.0,1.0,1.0,3.0,1.4,1.0,clear,clear
161,Know the sites your children are visiting and which sites are appropriate .,4,2.0,3.0,1.0,1.0,2.2,2.2,somewhat_clear,somewhat_clear
261,Affiliated Businesses We Do Not Control : We work closely with affiliated businesses .,5,4.0,1.0,4.0,4.0,3.6,4.0,vague,extremely_vague
654,"If you are concerned about the storage and use of cookies , you may be able to direct your internet browser to notify you and seek approval whenever a cookie is being sent to your hard drive .",4,2.0,3.0,2.0,2.0,2.6,2.0,somewhat_clear,somewhat_clear
521,with a purchaser of Groupon or any of the Groupon Affiliates ( or their assets ) ;,1,3.0,2.0,4.0,4.0,2.8,2.8,somewhat_clear,somewhat_clear
800,"We may share your information with third parties ( including the police and other law inforcement agencies ) when we believe it is necessary to comply with the law or protect our or another person 's rights , property , or safety .",5,2.0,5.0,1.0,2.0,3.0,3.0,vague,vague
261,"The Help feature on most browsers will tell you how to prevent your browser from accepting new cookies , how to have the browser notify you when you receive a new cookie , or how to disable cookies altogether .",2,2.0,2.0,2.0,1.0,1.8,2.0,clear,somewhat_clear
761,"Sometimes , we need personally-identifying information in order to provide you with the products and services that you request .",2,3.0,2.0,3.0,5.0,3.0,3.0,vague,vague
448,"For example , when you register for a test , we will provide certain registration information to entities that administer the tests in your area .",3,4.0,3.0,3.0,,3.25,3.0,vague,vague
946,The use of any information or materials that you may access at these external sites is purely voluntary .,2,1.0,,,,1.5,1.5,clear,clear
458,"Fandango also uses your Personally Identifiable Information to provide you with information that you request , and deliver content to you that is relevant to your interests .",2,3.0,2.0,2.0,3.0,2.4,2.0,somewhat_clear,somewhat_clear
691,"Obtain any consents , permission or licenses that may be legally required for you to submit any Material ;",2,2.0,2.0,2.0,,2.0,2.0,somewhat_clear,somewhat_clear
882,"The Globe , its outside suppliers and other third parties to whom we disclose information under this policy may perform activities outside of Canada .",4,3.0,2.0,5.0,2.0,3.2,3.2,vague,vague
252,"Also , we may highlight content you post to the public areas of the Service such as reviews or comments , such as by featuring your content on the Site 's home page .",3,3.0,2.0,2.0,3.0,2.6,3.0,somewhat_clear,vague
691,"These NDTV Service Terms together with the Privacy Policy and all other additional terms and information that may be provided within the Service ( collectively Terms ) govern your use of the service , site , content and software ( collectively the `` Service '' ) .",3,2.0,3.0,2.0,5.0,3.0,3.0,vague,vague
963,Most browsers offer instructions on how to reset the browser to reject Cookies in the `` Help '' section of the toolbar .,2,4.0,3.0,2.0,,2.75,2.75,somewhat_clear,somewhat_clear
458,Social Media Plug-Ins and Sharing with Other Sites You May Authorize,2,2.0,2.0,2.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
621,"If you do not want us to use or disclose Personal Information collected about you in the manner identified in this Privacy Policy , you may not use LivingSocial .",2,2.0,2.0,2.0,1.0,1.8,2.0,clear,somewhat_clear
458,"We maintain security measures in place in order to attempt to protect against the loss , misuse and alteration of the Personally Identifiable Information under our control .",2,2.0,1.0,,,1.6666666666666667,1.6666666666666667,clear,clear
756,You can request for your product to be traded in by using the form available in the Pix & I section .,1,1.0,1.0,1.0,,1.0,1.0,clear,clear
760,"Typically , this information includes :",4,2.0,2.0,2.0,,2.5,2.0,somewhat_clear,somewhat_clear
421,"Your protected health information may be used and disclosed by your physician , our office staff and others outside of our office that are involved in your care and treatment for the purpose of providing health care services to you .",3,4.0,3.0,2.0,3.0,3.0,3.0,vague,vague
691,The prices in the Service may change from time to time .,2,2.0,3.0,4.0,4.0,3.0,3.0,vague,vague
270,"Though we make every effort to preserve user privacy , Anticlown Media may need to disclose personal information when required by law wherein we have a good-faith belief that such action is necessary to comply with a current judicial proceeding , a court order or legal process served on any of the Anticlown Media websites .",1,4.0,2.0,3.0,3.0,2.6,2.6,somewhat_clear,somewhat_clear
406,"( i ) Entities that are not affiliated with Associate , such as Gaikai ( collectively , Providers ) may provide certain products and/or services ( e.g. , the Gaikai Service ) on behalf of Associate ; and",3,5.0,3.0,2.0,4.0,3.4,3.4,vague,vague
882,"if a Person enters a contest or other promotion offered on a Globe website , Globe may , under the rules of the promotion , use the Person 's name and certain other information to administer the promotion , such as contacting , announcing and promoting the winners of the promotion .",1,5.0,2.0,5.0,,3.25,3.25,vague,vague
543,"As a result , if you register on a website through a Partner Company , we may provide your Personal Data to the Partner Company .",4,3.0,3.0,2.0,,3.0,3.0,vague,vague
756,"Any opinions left by Pixmania Users are screened and moderated by the marketing team.If the comments infringe on the law or are inappropriate ( abusive publicity , defamation , insults , out of context commentary ) , Pixmania reserves the right to refuse or modify it .",1,1.0,1.0,1.0,,1.0,1.0,clear,clear
204,"For example , if you post your e-mail address , you may receive unsolicited messages .",1,3.0,2.0,2.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
946,"While we strive to protect your personal information , VirtualTourist.com can not ensure or warrant the security of any information you transmit to us .",2,1.0,2.0,2.0,,1.75,2.0,clear,somewhat_clear
605,"( c ) Precise Location Information : If you elect to utilize the location-based features and functionalities made available by Kohl 's through its mobile website or mobile applications , or simply by using Kohl 's Wi-Fi Services in our Stores , Kohl 's may collect mobile device identification and precise , real-time location-based information from technologies like Wi-Fi , or cell tower triangulation ( or a combination of these technologies ) .",3,2.0,2.0,2.0,,2.25,2.0,somewhat_clear,somewhat_clear
963,"WebMD makes an effort to make it obvious to you when you leave our website and enter a Third Party Web Site , either by requiring you to click on a link or by notifying you on the site before you visit the third party site .",3,3.0,,,,3.0,3.0,vague,vague
621,"For instance , we may collect your user name or profile information that you have permitted to be displayed through LivingSocial in order to display you as a friend or in association with your profile and connections .",2,2.0,2.0,1.0,2.0,1.8,2.0,clear,somewhat_clear
839,The personal data you choose to provide to or that is collected by these third parties is not covered by this Privacy Statement .,5,1.0,3.0,1.0,2.0,2.4,2.4,somewhat_clear,somewhat_clear
908,"This Web site may contain links to other sites , and we make every effort to link only to sites that share our high standards and respect for privacy .",2,3.0,5.0,3.0,2.0,3.0,3.0,vague,vague
882,"9.4 In order to safeguard Personal Information , an individual or employee may be required to provide sufficient identification information to permit Globe to account for the existence , use and disclosure of Personal Information and to authorize access to the individual 's file .",2,5.0,3.0,5.0,,3.75,3.75,vague,vague
796,Data Retention : We will retain your personal information for as long as your account is active or as needed to provide you services .,5,1.0,2.0,1.0,2.0,2.2,2.2,somewhat_clear,somewhat_clear
448,"If you want to disable the use of cookies or remove them at any time from your computer , you can disable or delete them using your browser ( consult your browser 's `` Help '' menu to learn how to delete cookies ) ; however , you must enable cookies to access certain information on our Website .",2,1.0,1.0,1.0,1.0,1.2,1.0,clear,clear
975,"In addition , in connection with the services that they provide to us , certain of our Service Providers may work with third parties who may use cookies to collect anonymous information to tailor advertising for you and others elsewhere on the Internet .",3,3.0,3.0,1.0,5.0,3.0,3.0,vague,vague
204,"If you choose to decline cookies , please note that you may not be able to sign in or use some of the interactive features offered on our web site .",5,2.0,2.0,3.0,2.0,2.8,2.0,somewhat_clear,somewhat_clear
722,"In the event of termination , your account will be disabled and you may not be granted access to your account or any files or other Content contained in your account although residual copies of information may remain in our system for some time for back-up purposes .",3,3.0,1.0,4.0,3.0,2.8,3.0,somewhat_clear,vague
774,"Airlines , hotels and other travel and freight service providers ; and",4,1.0,1.0,1.0,1.0,1.6,1.0,clear,clear
624,"Lonely Planet is keen to share the views and experiences of others but if you are unhappy that personal information about you has been included in one of our products , please let us know .",2,2.0,3.0,1.0,3.0,2.2,2.2,somewhat_clear,somewhat_clear
778,Other servers can not read them and personal information can not be gathered from them .,2,4.0,1.0,1.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
7,"This allows us to personalize the site for you and tailor the content to your needs , for instance to show you other products you may be interested in .",2,2.0,4.0,5.0,2.0,3.0,2.0,vague,somewhat_clear
603,"If you received an e-mail about a flight that you did not book , this may be an attempt to retrieve your personal information ( also known as phishing ) or infect your computer .",2,1.0,2.0,1.0,3.0,1.8,1.8,clear,clear
963,You can find additional information and resources about how to opt out of advertising and related Cookies by visiting the World Privacy Forum 's Site .,2,2.0,1.0,,,1.6666666666666667,1.6666666666666667,clear,clear
793,to ensure that content from our Website is presented in the most effective manner for You and Your computer ;,2,1.0,1.0,1.0,2.0,1.4,1.0,clear,clear
204,"If we offer or accommodate this kind of shared-platform or similar service , the third-party through which the service is provided , and with whom your information may be shared , will be identified by a recognizable icon .",5,4.0,2.0,5.0,1.0,3.4,3.4,vague,vague
543,"We use your Personal Data to personalize our Offerings ; to deliver personalized information to you ; to send you administrative e-mail notifications , such as security or support and maintenance advisories ; to provide you with electronic newsletters ; and to send you special offers related to our Offerings and for other marketing purposes of Company or our third party partners , should you opt-in to receive such communications by indicating such preference in your Profile .",3,5.0,5.0,2.0,3.0,3.6,3.6,vague,vague
543,"If you decide at any time that you no longer wish to accept Cookies from the Company Properties for any of the purposes described above , then you can instruct your browser , by changing its settings , to stop accepting Cookies or to prompt you before accepting a Cookie from the websites you visit .",1,1.0,1.0,,,1.0,1.0,clear,clear
188,We do link the information we store in cookies to personally identifiable information you submit while on our site .,4,2.0,2.0,2.0,1.0,2.2,2.0,somewhat_clear,somewhat_clear
103,"When you first visit bt.com you 'll see a notice telling you we use cookies , why we use them , and how you can change which cookies you accept using the sliding scale toolbar and clicking on the icons .",1,1.0,1.0,1.0,1.0,1.0,1.0,clear,clear
448,"Remember , however , that ETS may still send email or call you in order to provide a product or service that you request .",2,2.0,3.0,1.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
298,"In connection with purchases of certain Digital Content , we may need to forward information about you ( including , for example , your Internet Protocol ( IP ) address ) to the Digital Content provider in order to enable you to download or purchase Digital Content from or through that provider .",4,5.0,3.0,2.0,3.0,3.4,3.4,vague,vague
235,Users may opt-in to receive these messages .,1,2.0,1.0,1.0,2.0,1.4,1.0,clear,clear
882,"Globe may also collect , use or disclose Personal Information without knowledge or consent if seeking the consent of the Person might defeat the purpose of collecting the information such as in the investigation of a breach of an agreement or a contravention of a federal or provincial law .",5,3.0,2.0,5.0,3.0,3.6,3.6,vague,vague
654,We also automatically collect certain non-personal information from you when you access our Website .,4,2.0,3.0,1.0,2.0,2.4,2.4,somewhat_clear,somewhat_clear
926,"In addition to eligibility for these program benefits , customers who create a Dividend Miles account profile can personalize and improve their online or mobile experiences by receiving access to specialized areas of the Sites and Services , including the Dividend Miles and Dividend Miles 'Book award travel ' areas .",1,4.0,2.0,2.0,4.0,2.6,2.6,somewhat_clear,somewhat_clear
904,"For example , you can adjust your privacy settings on Facebook to prevent your Facebook friends from sharing information with us about you from their Facebook accounts .",1,1.0,1.0,1.0,4.0,1.6,1.0,clear,clear
624,We collect this information so that we can fulfill your order and speed your products directly to you .,1,1.0,2.0,2.0,1.0,1.4,1.0,clear,clear
691,"No warranty of any kind , either express or implied , including but not limited to warranties of title , non-infringement , merchantability , or fitness for a particular purpose , is made in relation to the availability , accuracy , reliability , information or content of the Service .",3,2.0,1.0,1.0,2.0,1.8,1.8,clear,clear
778,You can choose not to provide certain information when using our websites but then you might not be able to take advantage of many of its features .,4,2.0,5.0,1.0,5.0,3.4,3.4,vague,vague
457,"We may collect your personal information when you request or acquire a product or service from us , register with us as a member , provide a product or service to us , complete a survey or questionnaire , enter a competition or event , contribute in a fundraising event , participate in our services ( including our radio programs , blogs and forums ) or when you communicate with us by e-mail , telephone or in writing ( for example if you contact customer service to make a complaint or provide feedback ) .",1,4.0,3.0,2.0,2.0,2.4,2.4,somewhat_clear,somewhat_clear
643,We may share your personally identifiable information with third parties who we have engaged to help us provide the services .,2,2.0,5.0,2.0,5.0,3.2,2.0,vague,somewhat_clear
320,Some of the uses and disclosures mentioned in this Privacy Policy may involve the transfer of your personal information to various countries around the world that may have different levels of privacy protection than your country .,2,5.0,3.0,4.0,2.0,3.2,3.2,vague,vague
50,"These third parties will not use your personal information for any purpose other than to provide the Site-related services , and have agreed to maintain confidentiality , surveys , security , and integrity of your personal information .",3,4.0,1.0,2.0,3.0,2.6,2.6,somewhat_clear,somewhat_clear
252,Third Party Services .,3,1.0,1.0,5.0,5.0,3.0,3.0,vague,vague
239,"We may also collect information about your computer , including where available your IP address , operating system and browser type , for system administration and to report aggregate information to our webmasters .",5,2.0,2.0,1.0,4.0,2.8,2.8,somewhat_clear,somewhat_clear
389,"In order to manage our sites , we collect some information for statistical purposes .",3,5.0,2.0,4.0,3.0,3.4,3.4,vague,vague
204,"When you visit our web site , we collect certain information automatically .",3,3.0,2.0,2.0,5.0,3.0,3.0,vague,vague
963,"The Personal Information you submit in a survey may be used by WebMD for research and measurement purposes , as described below , including to measure the effectiveness of content , advertising or programs .",2,3.0,2.0,4.0,,2.75,2.75,somewhat_clear,somewhat_clear
320,"This information may include information about the IP address of your computer , browser type , language , operating system , your mobile device , geo-location data , the state or country from which you accessed this Web site , the Web pages visited , the date and the time of a visit , and the websites you visited immediately before and after visiting this Web site .",2,2.0,3.0,1.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
431,"For example , if you register for a Meredith Service , we may save your username and password , so you do not have to re-enter them each time you visit .",2,4.0,2.0,1.0,1.0,2.0,2.0,somewhat_clear,somewhat_clear
298,"If you link your account with us to your UltraViolet account , we may collect information regarding UltraViolet-enabled movies and television shows you have purchased from third party retailers .",4,5.0,2.0,3.0,3.0,3.4,3.4,vague,vague
463,"Users can voluntarily decide whether or not to provide their consent for the data that they supply of their own free will to be included in the file that is the responsibility of FC BARCELONA , which is used to keep users informed , to offer them products and/or services both of FUTBOL CLUB BARCELONA itself and of other organizations that collaborate with the Club that , through agreement , may have some special offer that could be of interest to the members , supporters and internet users that have supplied their details .",3,1.0,3.0,2.0,3.0,2.4,3.0,somewhat_clear,vague
